City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Uribia,CO,2022-03-22 13:16:14,11.7139,-72.266,80.87,63,85,21.07
59,Gubkinskiy,RU,2022-03-22 13:16:15,64.434,76.5026,0.73,95,19,3.94
60,Ribeira Grande,PT,2022-03-22 13:16:15,38.5167,-28.7,63.0,67,40,20.71
61,Ayagoz,KZ,2022-03-22 13:16:15,47.9714,80.4392,24.82,94,100,10.63
62,Novorudnyy,RU,2022-03-22 13:16:16,51.5026,58.1873,26.96,84,91,8.59
63,Dunedin,NZ,2022-03-22 13:13:18,-45.8742,170.5036,59.81,99,63,3.0
64,Barrow,US,2022-03-22 13:16:16,71.2906,-156.7887,-27.38,75,100,6.91
65,Laurens,US,2022-03-22 13:16:09,32.4502,-82.9165,58.28,83,0,0.0
66,Saint George,US,2022-03-22 13:16:15,37.1041,-113.5841,48.43,43,0,9.22
67,Truro,GB,2022-03-22 13:15:33,50.2653,-5.0544,56.48,50,0,27.63
68,Clyde River,CA,2022-03-22 13:16:17,70.4692,-68.5914,-12.77,77,0,6.91
69,Luganville,VU,2022-03-22 13:16:18,-15.5333,167.1667,78.35,89,100,6.02
70,Avarua,CK,2022-03-22 13:11:55,-21.2078,-159.775,73.45,94,75,19.57
71,Thinadhoo,MV,2022-03-22 13:16:18,0.5333,72.9333,84.22,71,11,18.52
72,Geraldton,AU,2022-03-22 13:16:18,-28.7667,114.6,72.01,78,0,13.8
73,Jamestown,US,2022-03-22 13:12:02,42.097,-79.2353,38.52,47,0,5.75
74,Loandjili,CG,2022-03-22 13:16:19,-4.7561,11.8578,79.03,86,100,2.42
75,Punta Arenas,CL,2022-03-22 13:12:48,-53.15,-70.9167,51.91,68,75,23.02
76,Breytovo,RU,2022-03-22 13:16:19,58.2993,37.8617,40.1,84,3,8.46
77,Saint-Philippe,RE,2022-03-22 13:16:20,-21.3585,55.7679,81.99,87,50,9.93
78,Victoria,HK,2022-03-22 13:13:40,22.2855,114.1577,80.19,95,77,10.0
79,Leningradskiy,RU,2022-03-22 13:16:20,69.3833,178.4167,26.38,81,100,7.23
80,Male,MV,2022-03-22 13:16:21,4.1748,73.5089,83.23,68,4,15.68
81,Sorland,NO,2022-03-22 13:16:21,67.667,12.6934,44.46,85,29,20.0
82,Bluff,NZ,2022-03-22 13:16:21,-46.6,168.3333,59.83,87,2,5.1
83,Rikitea,PF,2022-03-22 13:16:22,-23.1203,-134.9692,77.81,76,8,12.35
84,Kramat,ID,2022-03-22 13:16:22,-8.1311,113.4499,75.4,96,100,3.22
85,La Paz,BO,2022-03-22 13:13:51,-16.5,-68.15,51.78,81,20,4.61
86,Nagar Karnul,IN,2022-03-22 13:16:23,16.4821,78.3247,93.56,22,94,2.64
87,Kavaratti,IN,2022-03-22 13:16:23,10.5669,72.642,82.9,66,67,13.27
88,Albany,US,2022-03-22 13:16:23,42.6001,-73.9662,35.78,41,2,3.0
89,Yavaros,MX,2022-03-22 13:16:24,26.7,-109.5167,57.13,48,0,7.38
90,Khatanga,RU,2022-03-22 13:16:24,71.9667,102.5,-16.56,100,100,3.87
91,Kaitangata,NZ,2022-03-22 13:16:25,-46.2817,169.8464,55.36,97,23,3.89
92,Bengkulu,ID,2022-03-22 13:16:25,-3.8004,102.2655,80.38,77,100,4.27
93,Ust-Uda,RU,2022-03-22 13:16:25,54.1742,103.0304,7.79,99,98,2.75
94,Mar Del Plata,AR,2022-03-22 13:16:26,-38.0023,-57.5575,67.08,93,75,16.11
95,Port Alfred,ZA,2022-03-22 13:16:26,-33.5906,26.891,79.72,64,0,11.27
96,East London,ZA,2022-03-22 13:11:55,-33.0153,27.9116,80.56,59,0,14.38
97,Tahoua,NE,2022-03-22 13:16:27,14.8888,5.2692,102.9,6,10,9.13
98,Longyearbyen,SJ,2022-03-22 13:16:27,78.2186,15.6401,15.64,62,75,17.27
99,Lompoc,US,2022-03-22 13:16:27,34.6391,-120.4579,59.52,74,0,6.91
100,Komsomolskiy,UZ,2022-03-22 13:16:28,40.4272,71.7189,52.52,66,100,4.61
101,Te Anau,NZ,2022-03-22 13:16:28,-45.4167,167.7167,56.21,87,12,0.69
102,Thompson,CA,2022-03-22 13:15:32,55.7435,-97.8558,24.96,93,100,8.05
103,Taki,IN,2022-03-22 13:16:29,22.5861,88.9214,89.04,46,35,12.59
104,Hamilton,US,2022-03-22 13:13:38,39.1834,-84.5333,54.23,83,75,12.66
105,Smila,UA,2022-03-22 13:16:29,49.2224,31.8871,49.8,51,3,9.01
106,Ancud,CL,2022-03-22 13:16:30,-41.8697,-73.8203,54.23,84,100,8.75
107,Kodinsk,RU,2022-03-22 13:16:30,58.6881,99.1844,11.52,97,100,3.67
108,Moose Factory,CA,2022-03-22 13:16:30,51.2585,-80.6094,5.0,85,0,3.44
109,Souillac,MU,2022-03-22 13:16:31,-20.5167,57.5167,84.58,84,40,6.91
110,Flinders,AU,2022-03-22 13:16:31,-34.5833,150.8552,70.18,88,100,5.01
111,Narsaq,GL,2022-03-22 13:16:31,60.9167,-46.05,19.62,53,18,6.17
