City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Santa Rosa,PH,84.18,scattered clouds,14.3122,121.1114,Santa Rosa
617,Lanigan,CA,17.49,overcast clouds,51.8501,-105.0344,Lanigan
618,Emerald,AU,69.94,scattered clouds,-23.5333,148.1667,Emerald
619,Partenit,UA,44.33,broken clouds,44.578,34.3446,Hurzuf
620,Apen,DE,61.18,clear sky,53.2167,7.8,Westerstede
621,Bumba,CD,94.66,broken clouds,2.1833,22.4667,Bumba
623,Mayumba,GA,82.4,light rain,-3.432,10.6554,Mayumba
624,Firovo,RU,22.53,broken clouds,57.4814,33.7021,Firovo
625,Anori,BR,81.41,heavy intensity rain,-3.7728,-61.6442,Anori
626,Voyvozh,RU,31.39,overcast clouds,62.892,54.9635,Voivozh
627,Kozhva,RU,22.91,snow,65.1073,57.0459,Pechora
628,Southbridge,US,44.46,broken clouds,42.0751,-72.0334,Southbridge
629,Changli,CN,44.1,clear sky,39.7042,119.1506,Qinhuangdao
630,Almeria,ES,57.78,overcast clouds,37.1667,-2.3333,Senés
631,Beyneu,KZ,47.05,overcast clouds,45.3167,55.2,Beyneu
632,Jalu,LY,75.22,clear sky,29.0331,21.5482,Jalu
633,Kunya,NG,96.33,broken clouds,12.2233,8.5325,Kunya
634,Aguimes,ES,74.03,scattered clouds,27.9054,-15.4461,"Ingenio, Las Palmas"
635,Inirida,CO,74.71,overcast clouds,3.8653,-67.9239,Inírida
636,La Macarena,CO,82.06,overcast clouds,2.1837,-73.7849,La Macarena
637,Diego De Almagro,CL,77.27,clear sky,-26.3667,-70.05,Diego de Almagro
638,Kangaatsiaq,GL,18.66,scattered clouds,68.3065,-53.4641,Kangaatsiaq
639,Pundaguitan,PH,79.9,overcast clouds,6.3711,126.1689,Mati
640,Kodinsk,RU,16.11,overcast clouds,58.6881,99.1844,Kodinsk
641,Multan,PK,94.89,haze,30.1956,71.4753,Multan
642,Varkaus,FI,28.31,overcast clouds,62.3153,27.873,Varkaus
643,Rosenberg,SK,61.43,clear sky,49.0748,19.3075,Ružomberok
644,Port Augusta,AU,71.74,broken clouds,-32.5,137.7667,Port Augusta
645,Surt,LY,76.21,few clouds,31.2089,16.5887,Sirte
646,Ginda,IN,59.79,clear sky,30.6945,78.4932,Barahat Range
647,Burnie,AU,59.94,overcast clouds,-41.0667,145.9167,Burnie
648,Onega,RU,20.86,scattered clouds,63.9061,38.1404,Onega
649,Salalah,OM,84.29,clear sky,17.0151,54.0924,Salalah
